,title,year,movie,tv,Netflix,Disney+,Hulu,Prime Video,genre_action_adventure,genre_animation,genre_biography,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_horror,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_musical,genre_reality,genre_other,HBO,rating,IMDb,Rotten Tomatoes
116,13TH,2016,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,
117,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,2017,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
118,13aam Number Veedu,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,,
119,13th Locker,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,,,
120,14 Blades,2010,1,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
121,14 Cameras,2018,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,,,
122,14 Minutes from Earth,2016,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,5.7,45.0
123,1492: Conquest of Paradise,1992,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,PG-13/TV-14,6.5,64.0
124,15 August,2019,1,0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,,
125,15 Killings,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,,3.3,39.0
126,15 Minute Forest Stream Meditation,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
127,15 Minute Mountain Sleep Visualization,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
128,15 Minute Ocean Meditation,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
129,15 Minute Ocean Sleep Visualization,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
130,15 Minute Rain Meditation,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
131,15 Minutes of War,2019,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,PG-13/TV-14,6.3,56.0
132,15 Years,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,,,
